Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	age	gender	accuracy	country
4	4	2	2	3	5	4	4	2	2	2	2	48	2	90	AU
5	5	1	1	1	5	4	5	5	5	5	4	63	1	80	US
4	1	5	5	2	1	1	2	3	5	5	2	18	1	95	US
5	1	4	5	1	5	5	3	5	4	4	3	16	1	85	US
5	5	1	1	1	2	5	5	2	2	1	1	29	1	90	AU
4	4	2	2	4	1	5	3	4	4	3	2	36	2	75	US
4	2	2	2	2	5	4	4	1	1	2	1	54	2	90	CA
4	5	1	1	3	4	5	5	1	1	1	2	30	1	75	FR
5	4	1	2	4	5	4	4	3	4	1	2	26	1	80	US
4	4	4	4	4	4	4	2	4	4	4	4	48	2	85	AU
5	4	1	2	1	5	4	4	1	1	2	1	20	1	90	US
4	4	2	2	1	5	5	5	1	1	1	2	34	1	100	US
4	5	2	4	4	5	5	5	1	1	1	1	32	1	100	US
5	5	5	4	5	4	5	5	1	1	1	1	17	2	100	MP
4	5	1	1	3	5	4	5	1	1	1	2	53	2	85	US
2	1	5	5	5	4	4	2	2	2	2	4	46	2	90	GB
3	1	4	3	4	2	3	3	5	4	3	4	58	1	90	AU
5	2	2	1	4	4	5	4	1	1	1	4	17	1	90	US
2	5	4	4	5	2	4	3	4	4	3	4	22	2	60	IN
4	1	4	4	3	1	4	2	4	4	4	4	58	1	90	AU
4	2	2	2	4	4	5	5	4	1	1	2	44	1	70	US
4	4	1	2	4	4	5	3	1	3	2	3	40	1	80	IT
4	4	1	1	4	4	4	4	2	1	1	2	25	1	92	US
5	4	2	3	4	4	4	3	1	2	2	2	26	2	85	US
4	4	2	2	4	4	3	3	2	5	4	4	38	3	75	US
4	3	2	1	4	2	5	3	4	2	4	4	30	2	100	US
4	1	4	5	4	2	1	3	4	4	5	4	24	2	60	SK
4	4	2	1	4	4	2	3	5	2	2	2	50	1	100	US
4	5	2	4	4	4	4	3	2	2	4	2	28	1	100	US
4	2	2	2	4	5	5	3	4	4	2	4	21	2	70	AU
5	3	2	4	2	4	4	4	2	3	2	2	35	2	100	GB
4	5	2	2	2	4	4	3	2	2	2	4	18	1	60	MY
5	2	1	2	2	2	5	4	1	1	2	2	28	1	100	US
4	4	2	2	2	5	5	4	1	1	2	3	14	2	80	US
5	5	4	5	4	5	5	5	5	1	5	5	34	1	96	GB
4	3	2	2	3	4	3	3	2	2	2	3	23	2	75	BR
5	1	2	1	5	5	5	5	1	5	1	1	23	1	85	JM
4	2	2	2	4	3	4	4	2	2	2	2	22	1	75	PL
4	4	1	1	1	4	5	4	1	5	1	1	47	2	100	US
4	3	2	1	1	5	5	3	2	2	4	2	52	2	100	US
4	4	3	1	4	4	4	3	1	4	1	3	18	1	75	US
4	4	3	1	2	4	4	4	1	2	2	3	27	2	95	CA
4	4	1	1	1	4	5	4	1	2	1	1	60	1	85	AU
4	3	2	3	2	4	4	3	2	2	3	3	14	2	55	ID
